bug id, has_smell 
20247811, false 
20254168, false 
20257400, false 
20257430, true 
20257833, true 
20258744, true 
20260729, false 
20264417, false 
20267825, true 
20268926, true 
20275423, true 
20275572, true 
20288155, false 
20294239, true 
20303449, false 
20323096, false 
20332322, true 
20333885, true 
20343017, false 
20343730, false 
20345203, false 
20346194, true 
20346315, false 
20416721, true 
20423603, false 
20431566, false 
20432208, false 
20438089, true 
20443325, true 
20443441, false 
20447313, false 
20447341, false 
20451261, false 
20451514, true 
20452651, true 
20461288, true 
20469328, true 
20488109, false 
20491394, true 
20493815, false 
20493831, false 
20494934, false 
20495301, true 
20500732, true 
20503132, false 
20503551, true 
20503562, false 
20503708, false 
20507129, true 
20518822, false 
20525775, true 
20532827, false 
20535812, false 
20537162, false 
20545952, true 
20554807, true 
20556237, false 
20561357, false 
20562850, false 
20614145, false 
20616288, true 
20636917, true 
20641986, true 
20641996, true 
20642684, true 
20642759, false 
20643039, true 
20647016, false 
20652663, false 
20652683, true 
20653654, true 
20663748, false 
20669049, false 
20669231, false 
20692121, false 
20696126, true 
20697812, false 
20698931, false 
20704229, false 
20704355, true 
20709442, true 
20711006, false 
20719615, false 
20722624, false 
20723240, false 
20728640, false 
20731384, true 
20736251, true 
20750301, true 
20751702, false 
20751989, false 
20752953, false 
20752986, true 
20754494, false 
20760800, false 
20761426, false 
20763296, true 
20763994, true 
20764439, false 
20764441, true 
20765163, false 
20810492, true 
20811452, false 
20813824, false 
20817208, true 
20820034, true 
20820039, true 
20820363, true 
20820366, true 
20820914, false 
20822219, true 
20822962, false 
20823932, false 
20823970, true 
20823978, true 
20824264, false 
20826627, true 
20826638, false 
20827220, false 
20828356, true 
20831507, true 
20836019, true 
20849543, true 
20851763, false 
20852831, true 
20853317, true 
20853645, false 
20854925, true 
20863078, true 
20864436, false 
20879084, false 
20882034, true 
20882522, false 
20884993, false 
20886649, false 
20887665, true 
20887706, true 
20888718, false 
20888836, true 
20889739, true 
20889746, false 
20892246, true 
20893212, true 
20899208, false 
20914299, true 
20916418, false 
20916542, false 
20917373, false 
20918138, true 
20918350, false 
20922838, false 
20923734, false 
20923818, true 
20925281, false 
20925733, false 
20930071, true 
20934462, true 
20940526, true 
20940663, false 
20944446, true 
20947116, false 
20948129, true 
20948199, false 
20949086, false 
20949290, false 
20950124, true 
20951546, false 
20953232, true 
20956211, false 
20972545, false 
20980990, false 
21004101, false 
21011574, false 
21016983, true 
21017105, true 
21019153, true 
21019691, false 
21020457, true 
21024091, false 
21024958, true 
21025743, true 
21027462, true 
21028396, false 
21028875, true 
21035363, false 
21035702, true 
21035872, true 
21038249, true 
21039983, false 
21040387, false 
21043955, false 
21044520, true 
21045118, true 
21048197, false 
21063241, true 
21063567, true 
21063767, false 
21066017, false 
21066411, false 
21069008, true 
21072209, true 
21078474, true 
